Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
lamb,Animals (Real or Toy),9,4.5,7.5,17.8,14.9,26.4,30.6,44.7,40.2,48,57.7,56.8,48.3,50,71.4
today,Words about Time,2.6,0,3.7,2.7,3.2,5.6,11.1,24.7,23.4,28,32.1,46.9,31,41.7,71.4
can (action),Helping Verbs,6.4,0,3.7,9.6,8.5,12.5,16.7,31.8,20.6,37.3,42.3,50.6,48.3,65,71.4
penis,Body Parts,16.7,10.6,20,21.9,29.8,38.9,37.5,45.9,39.3,48,53.8,60.5,67.2,61.7,70
stuck,Descriptive Words,7.7,7.6,17.5,20.5,28.7,26.4,31.9,37.6,31.8,44,57.7,61.7,67.2,55,70
bring,Action Words,5.1,3,6.2,9.6,9.6,22.2,20.8,37.6,33.6,49.3,51.3,54.3,56.9,71.7,70
quiet,Descriptive Words,6.4,0,7.5,9.6,13.8,20.8,25,34.1,34.6,41.3,51.3,58,58.6,61.7,70
nail,Small Household Items,2.6,1.5,6.2,16.4,6.4,18.1,19.4,43.5,30.8,44,39.7,63,53.4,63.3,70
deer,Animals (Real or Toy),6.4,7.6,16.3,20.5,19.1,27.8,33.3,32.9,37.4,42.7,48.7,58,46.6,51.7,70
squirrel,Animals (Real or Toy),6.4,4.5,20,27.4,31.9,30.6,40.3,42.4,43.9,49.3,60.3,77.8,70.7,70,70
toes as pigs,Games and Routines,17.9,10.6,12.5,11,18.1,29.2,29.2,44.7,45.8,46.7,47.4,60.5,58.6,65,70
white,Descriptive Words,5.1,4.5,3.7,6.8,10.6,13.9,22.2,29.4,29,29.3,37.2,55.6,36.2,58.3,70
he,Pronouns,7.7,1.5,2.5,4.1,6.4,9.7,20.8,27.1,18.7,28,41,55.6,46.6,56.7,70
snowman,Outside Things,5.1,1.5,1.3,5.5,5.3,11.1,20.8,23.5,25.2,41.3,43.6,56.8,50,60,70
later,Words about Time,6.4,1.5,5,15.1,10.6,15.3,19.4,38.8,30.8,37.3,44.9,50.6,58.6,58.3,68.6
the,Quantifiers and Articles,7.7,4.5,5,9.6,10.6,13.9,22.2,31.8,29.9,28,51.3,51.9,46.6,53.3,68.6
hurry,Action Words,5.1,1.5,8.8,8.2,9.6,20.8,23.6,29.4,30.8,40,51.3,49.4,60.3,63.3,68.6
jello,Food and Drink,6.4,6.1,11.3,15.1,17,22.2,23.6,28.2,28,40,44.9,59.3,50,60,68.6
tuna,Food and Drink,3.8,4.5,8.8,8.2,9.6,22.2,29.2,27.1,23.4,44,39.7,51.9,44.8,53.3,68.6
sandbox,Outside Things,9,3,13.8,17.8,17,19.4,31.9,36.5,35.5,54.7,57.7,61.7,51.7,56.7,68.6
pour,Action Words,5.1,0,1.3,6.8,7.4,18.1,18.1,24.7,21.5,28,41,55.6,50,55,68.6
soft,Descriptive Words,5.1,6.1,7.5,6.8,19.1,26.4,23.6,44.7,33.6,41.3,52.6,55.6,55.2,60,68.6
windy,Descriptive Words,3.8,1.5,7.5,12.3,12.8,13.9,22.2,38.8,29.9,37.3,38.5,58,50,53.3,68.6
lamp,Small Household Items,7.7,1.5,5,11,16,20.8,26.4,36.5,26.2,34.7,39.7,48.1,51.7,53.3,68.6
sister,People,16.7,10.6,8.8,19.2,23.4,29.2,27.8,36.5,36.4,34.7,43.6,37,62.1,51.7,67.1
pudding,Food and Drink,3.8,3,6.2,12.3,11.7,13.9,25,20,23.4,34.7,37.2,30.9,50,55,67.1
gloves,Clothing,5.1,4.5,3.7,12.3,14.9,18.1,20.8,24.7,29.9,37.3,48.7,49.4,51.7,53.3,67.1
mittens,Clothing,7.7,1.5,10,13.7,17,19.4,23.6,23.5,30.8,44,43.6,55.6,53.4,56.7,67.1
police,People,2.6,0,3.7,4.1,6.4,8.3,9.7,18.8,20.6,20,32.1,50.6,43.1,46.7,67.1
pretzel,Food and Drink,6.4,6.1,6.2,15.1,16,19.4,34.7,24.7,29,33.3,35.9,49.4,50,56.7,67.1
jeans,Clothing,3.8,1.5,6.2,6.8,13.8,20.8,18.1,27.1,27.1,28,41,38.3,46.6,50,67.1
empty,Descriptive Words,10.3,3,11.3,15.1,19.1,27.8,25,37.6,33.6,41.3,50,54.3,53.4,58.3,67.1
vroom,Sound Effects and Animal Sounds,39.7,54.5,66.2,50.7,55.3,68.1,69.4,75.3,68.2,69.3,69.2,64.2,67.2,58.3,67.1
noisy,Descriptive Words,3.8,3,1.3,15.1,10.6,16.7,20.8,32.9,24.3,34.7,44.9,45.7,48.3,46.7,67.1
picnic,Places to Go,3.8,1.5,6.2,11,11.7,9.7,12.5,27.1,27.1,41.3,44.9,54.3,48.3,50,67.1
garden,Outside Things,2.6,1.5,6.2,13.7,6.4,11.1,16.7,24.7,22.4,28,37.2,48.1,41.4,45,67.1
chalk,Toys,5.1,1.5,5,9.6,10.6,13.9,20.8,27.1,29,30.7,32.1,45.7,24.1,41.7,65.7
pick,Action Words,3.8,0,5,11,6.4,12.5,9.7,27.1,23.4,32,48.7,43.2,46.6,65,65.7
mellon,Food and Drink,5.1,3,7.5,15.1,23.4,27.8,31.9,42.4,41.1,36,47.4,58,43.1,58.3,65.7
tear,Action Words,3.8,0,3.7,1.4,7.4,9.7,6.9,17.6,18.7,18.7,25.6,39.5,25.9,43.3,65.7
penguin,Animals (Real or Toy),5.1,4.5,6.2,12.3,13.8,15.3,23.6,25.9,31.8,33.3,38.5,43.2,48.3,53.3,65.7
is,Helping Verbs,3.8,0,3.7,4.1,5.3,12.5,12.5,29.4,19.6,34.7,35.9,59.3,39.7,51.7,65.7
a,Quantifiers and Articles,9,4.5,6.2,9.6,13.8,22.2,27.8,31.8,36.4,29.3,44.9,55.6,51.7,53.3,65.7
another,Quantifiers and Articles,7.7,3,3.7,9.6,9.6,5.6,25,23.5,26.2,32,44.9,40.7,46.6,51.7,65.7
try to,Helping Verbs,3.8,1.5,5,6.8,5.3,6.9,16.7,23.5,22.4,24,32.1,43.2,39.7,46.7,65.7
your,Pronouns,9,0,1.3,1.4,4.3,1.4,5.6,17.6,16.8,28,30.8,44.4,44.8,45,64.3
salt,Food and Drink,3.8,0,2.5,8.2,5.3,11.1,22.2,21.2,24.3,25.3,32.1,45.7,37.9,60,64.3
a lot,Quantifiers and Articles,2.6,0,2.5,2.7,2.1,4.2,9.7,21.2,12.1,26.7,33.3,44.4,43.1,40,64.3
not,Quantifiers and Articles,7.7,0,5,2.7,11.7,4.2,16.7,25.9,23.4,32,43.6,51.9,53.4,53.3,64.3
tractor,Vehicles (Real or Toy),7.7,6.1,10,16.4,18.1,25,36.1,35.3,38.3,44,51.3,61.7,67.2,55,64.3
have to,Helping Verbs,2.6,0,1.3,4.1,3.2,1.4,6.9,22.4,20.6,16,38.5,40.7,44.8,45,64.3
need to,Helping Verbs,7.7,0,5,6.8,6.4,8.3,16.7,29.4,21.5,28,42.3,43.2,51.7,51.7,62.9
brother,People,10.3,15.2,12.5,15.1,12.8,16.7,19.4,37.6,27.1,36,46.2,46.9,55.2,43.3,62.9
old,Descriptive Words,2.6,1.5,0,0,4.3,8.3,9.7,23.5,15.9,24,34.6,34.6,29.3,46.7,62.9
are,Helping Verbs,5.1,0,0,0,4.3,5.6,6.9,16.5,13.1,21.3,29.5,35.8,32.8,36.7,62.9
cockadoodledo,Sound Effects and Animal Sounds,17.9,12.1,15,24.7,20.2,34.7,27.8,43.5,45.8,45.3,53.8,54.3,55.2,58.3,62.9
listen,Action Words,3.8,3,5,9.6,8.5,15.3,9.7,28.2,20.6,22.7,38.5,48.1,44.8,61.7,62.9
church,Places to Go,6.4,9.1,8.8,15.1,19.1,18.1,30.6,35.3,29,40,52.6,55.6,46.6,56.7,62.9
other,Quantifiers and Articles,6.4,0,5,4.1,7.4,11.1,27.8,25.9,31.8,33.3,41,48.1,44.8,43.3,62.9
fit,Action Words,3.8,0,2.5,4.1,4.3,9.7,11.1,18.8,24.3,29.3,37.2,42,41.4,55,61.4
green beans,Food and Drink,7.7,4.5,6.2,9.6,18.1,19.4,19.4,29.4,27.1,26.7,35.9,40.7,41.4,40,61.4
am,Helping Verbs,3.8,0,3.7,2.7,5.3,8.3,11.1,20,15.9,25.3,34.6,45.7,46.6,45,61.4
teacher,People,5.1,0,2.5,5.5,4.3,9.7,15.3,17.6,19.6,14.7,34.6,42,37.9,51.7,61.4
pony,Animals (Real or Toy),7.7,4.5,10,19.2,19.1,27.8,33.3,40,39.3,41.3,51.3,53.1,53.4,58.3,61.4
slow,Descriptive Words,2.6,0,3.7,4.1,1.1,11.1,6.9,14.1,9.3,16,28.2,39.5,39.7,40,61.4
cover,Action Words,5.1,3,2.5,8.2,6.4,13.9,23.6,32.9,28,32,47.4,48.1,56.9,66.7,60
cute,Descriptive Words,6.4,1.5,8.8,20.5,16,20.8,29.2,37.6,32.7,45.3,48.7,50.6,58.6,48.3,60
how,Question Words,2.6,0,7.5,4.1,5.3,1.4,6.9,22.4,14,18.7,37.2,30.9,29.3,46.7,60
roof,Outside Things,2.6,1.5,3.7,2.7,6.4,9.7,20.8,18.8,16.8,29.3,33.3,49.4,43.1,41.7,60
sprinkler,Outside Things,5.1,1.5,3.7,8.2,10.6,13.9,23.6,24.7,24.3,37.3,38.5,56.8,53.4,50,60
chase,Action Words,3.8,4.5,3.7,8.2,5.3,9.7,15.3,25.9,20.6,28,28.2,38.3,36.2,50,60
she,Pronouns,5.1,1.5,1.3,2.7,3.2,8.3,12.5,25.9,12.1,20,37.2,48.1,39.7,51.7,60
give me five,Games and Routines,12.8,19.7,17.5,27.4,28.7,27.8,37.5,42.4,39.3,42.7,59,59.3,56.9,66.7,58.6
tricycle,Vehicles (Real or Toy),5.1,4.5,3.7,4.1,12.8,19.4,22.2,23.5,20.6,26.7,35.9,48.1,27.6,40,58.6
myself,Pronouns,3.8,0,2.5,0,1.1,2.8,15.3,16.5,15,18.7,26.9,25.9,39.7,36.7,58.6
any,Quantifiers and Articles,1.3,0,1.3,1.4,3.2,5.6,15.3,15.3,15.9,22.7,41,42,37.9,50,58.6
goose,Animals (Real or Toy),7.7,10.6,5,26,29.8,23.6,27.8,40,39.3,41.3,47.4,49.4,50,41.7,58.6
shake,Action Words,2.6,3,5,15.1,10.6,16.7,19.4,30.6,27.1,26.7,44.9,46.9,44.8,55,58.6
sneaker,Clothing,6.4,7.6,13.8,16.4,20.2,20.8,31.9,31.8,27.1,44,42.3,48.1,46.6,41.7,58.6
mop,Small Household Items,2.6,0,3.7,8.2,9.6,15.3,23.6,25.9,22.4,21.3,29.5,38.3,32.8,43.3,58.6
will,Helping Verbs,3.8,0,1.3,4.1,2.1,1.4,8.3,11.8,9.3,17.3,20.5,35.8,25.9,40,58.6
rooster,Animals (Real or Toy),5.1,1.5,3.7,11,10.6,19.4,22.2,29.4,34.6,34.7,47.4,54.3,43.1,48.3,57.1
day,Words about Time,3.8,3,5,8.2,6.4,15.3,20.8,30.6,24.3,30.7,38.5,49.4,39.7,53.3,57.1
her,Pronouns,5.1,0,1.3,4.1,2.1,2.8,11.1,21.2,15,18.7,28.2,44.4,31,50,57.1
farm,Places to Go,2.6,1.5,0,2.7,7.4,11.1,15.3,21.2,22.4,29.3,38.5,50.6,36.2,38.3,57.1
after,Words about Time,1.3,0,3.7,2.7,4.3,5.6,11.1,18.8,15.9,29.3,41,39.5,34.5,48.3,57.1
long,Descriptive Words,2.6,0,1.3,2.7,1.1,2.8,8.3,16.5,9.3,12,23.1,35.8,25.9,38.3,55.7
we,Pronouns,6.4,1.5,1.3,1.4,4.3,4.2,11.1,18.8,15,14.7,30.8,38.3,29.3,48.3,55.7
sauce,Food and Drink,3.8,1.5,10,8.2,12.8,9.7,27.8,29.4,34.6,30.7,38.5,42,41.4,55,55.7
think,Action Words,1.3,1.5,1.3,1.4,1.1,5.6,4.2,9.4,10.3,9.3,21.8,27.2,22.4,36.7,55.7
glue,Toys,1.3,0,2.5,6.8,5.3,8.3,11.1,17.6,14,20,29.5,43.2,31,38.3,54.3
be,Helping Verbs,1.3,3,1.3,2.7,2.1,6.9,12.5,14.1,15,21.3,32.1,29.6,22.4,38.3,54.3
because,Connecting Words,3.8,0,2.5,2.7,3.2,4.2,12.5,21.2,14,17.3,32.1,32.1,31,45,54.3
tonight,Words about Time,1.3,0,2.5,5.5,2.1,2.8,6.9,15.3,15,18.7,26.9,29.6,15.5,38.3,54.3
playground,Places to Go,3.8,1.5,5,5.5,6.4,8.3,18.1,22.4,20.6,22.7,37.2,42,25.9,55,54.3
they,Pronouns,2.6,0,0,0,1.1,2.8,2.8,7.1,8.4,13.3,25.6,25.9,24.1,38.3,54.3
finish,Action Words,6.4,0,3.7,8.2,8.5,8.3,13.9,24.7,26.2,32,32.1,44.4,46.6,60,54.3
dump,Action Words,3.8,1.5,1.3,2.7,9.6,6.9,11.1,23.5,21.5,24,29.5,40.7,31,45,52.9
gentle,Descriptive Words,5.1,3,5,5.5,14.9,12.5,22.2,25.9,26.2,32,41,39.5,44.8,36.7,52.9
ankle,Body Parts,2.6,3,7.5,8.2,8.5,13.9,12.5,23.5,19.6,29.3,30.8,35.8,32.8,43.3,52.9
him,Pronouns,1.3,0,1.3,2.7,2.1,6.9,9.7,18.8,13.1,14.7,29.5,43.2,32.8,40,52.9
wolf,Animals (Real or Toy),5.1,3,5,9.6,9.6,18.1,15.3,22.4,23.4,29.3,33.3,51.9,39.7,45,52.9
fine,Descriptive Words,2.6,3,1.3,4.1,5.3,5.6,6.9,22.4,19.6,24,28.2,32.1,31,31.7,52.9
tights,Clothing,2.6,3,3.7,0,7.4,8.3,13.9,12.9,22.4,22.7,28.2,23.5,29.3,33.3,52.9
gotta,Helping Verbs,1.3,1.5,2.5,2.7,4.3,2.8,11.1,16.5,10.3,16,30.8,25.9,27.6,38.3,51.4
coke,Food and Drink,10.3,6.1,6.2,17.8,17,27.8,36.1,25.9,34.6,36,38.5,42,50,53.3,51.4
play pen,Furniture and Rooms,2.6,0,3.7,8.2,8.5,6.9,18.1,15.3,14,14.7,25.6,30.9,31,36.7,51.4
his,Pronouns,3.8,0,0,2.7,2.1,4.2,4.2,16.5,10.3,25.3,21.8,34.6,27.6,35,51.4
stone,Outside Things,6.4,0,6.2,4.1,10.6,8.3,22.2,8.2,16.8,26.7,26.9,33.3,31,33.3,51.4
them,Pronouns,0,0,1.3,2.7,1.1,4.2,11.1,11.8,8.4,16,28.2,32.1,20.7,31.7,50
when,Question Words,1.3,0,2.5,1.4,0,0,1.4,7.1,7.5,10.7,28.2,19.8,19,36.7,50
lollipop,Food and Drink,6.4,4.5,10,20.5,19.1,20.8,33.3,31.8,30.8,46.7,41,58,39.7,60,50
beads,Clothing,7.7,9.1,10,17.8,25.5,25,25,40,28,33.3,41,38.3,36.2,41.7,48.6
none,Quantifiers and Articles,2.6,1.5,5,6.8,3.2,11.1,13.9,15.3,17.8,12,21.8,29.6,27.6,40,48.6
naughty,Descriptive Words,5.1,0,6.2,5.5,5.3,6.9,6.9,16.5,16.8,13.3,19.2,37,25.9,25,48.6
nurse,People,3.8,0,2.5,1.4,5.3,11.1,6.9,11.8,8.4,14.7,19.2,22.2,13.8,25,48.6
tiny,Descriptive Words,1.3,0,1.3,4.1,2.1,12.5,11.1,20,9.3,16,21.8,25.9,32.8,40,48.6
same,Quantifiers and Articles,1.3,0,2.5,1.4,1.1,2.8,8.3,12.9,15.9,18.7,25.6,29.6,25.9,40,48.6
time,Words about Time,0,1.5,5,2.7,4.3,5.6,9.7,14.1,7.5,24,15.4,28.4,20.7,35,47.1
donkey,Animals (Real or Toy),3.8,9.1,8.8,19.2,12.8,22.2,26.4,31.8,29,26.7,38.5,45.7,32.8,41.7,47.1
pretend,Action Words,5.1,1.5,2.5,2.7,1.1,0,6.9,9.4,7.5,13.3,21.8,21,29.3,36.7,47.1
porch,Furniture and Rooms,3.8,1.5,2.5,11,7.4,11.1,16.7,16.5,19.6,22.7,33.3,48.1,29.3,41.7,47.1
was,Helping Verbs,0,0,1.3,0,1.1,1.4,8.3,9.4,8.4,16,21.8,25.9,25.9,33.3,47.1
circus,Places to Go,3.8,1.5,3.7,2.7,2.1,8.3,12.5,12.9,17.8,21.3,29.5,38.3,36.2,40,47.1
hen,Animals (Real or Toy),5.1,3,3.7,8.2,7.4,15.3,13.9,23.5,19.6,24,32.1,23.5,22.4,35,47.1
jar,Small Household Items,1.3,3,5,5.5,6.4,12.5,15.3,14.1,15.9,20,23.1,35.8,31,40,47.1
bench,Furniture and Rooms,2.6,1.5,2.5,2.7,3.2,4.2,8.3,9.4,11.2,9.3,19.2,28.4,15.5,28.3,47.1
much,Quantifiers and Articles,2.6,0,2.5,2.7,4.3,1.4,6.9,12.9,14,13.3,28.2,28.4,22.4,35,47.1
these,Pronouns,3.8,0,7.5,6.8,8.5,11.1,22.2,21.2,19.6,28,43.6,44.4,39.7,45,47.1
vanilla,Food and Drink,1.3,0,3.7,5.5,5.3,5.6,9.7,11.8,10.3,18.7,17.9,33.3,17.2,40,45.7
walker,Small Household Items,3.8,0,1.3,4.1,4.3,8.3,9.7,14.1,10.3,9.3,21.8,23.5,19,31.7,45.7
skate,Action Words,1.3,0,1.3,0,2.1,8.3,4.2,9.4,10.3,14.7,26.9,27.2,22.4,38.3,45.7
sofa,Furniture and Rooms,1.3,3,3.7,6.8,6.4,6.9,15.3,16.5,18.7,17.3,20.5,40.7,31,41.7,45.7
rip,Action Words,1.3,3,1.3,6.8,1.1,11.1,2.8,10.6,15,12,24.4,37,31,30,45.7
scarf,Clothing,2.6,1.5,5,2.7,4.3,6.9,16.7,5.9,13.1,10.7,17.9,22.2,25.9,26.7,44.3
our,Pronouns,1.3,0,0,0,3.2,0,2.8,11.8,8.4,13.3,16.7,28.4,22.4,31.7,44.3
those,Pronouns,1.3,0,3.7,2.7,4.3,4.2,9.7,17.6,14,13.3,29.5,28.4,29.3,40,44.3
babysitter,People,3.8,0,2.5,0,3.2,5.6,11.1,20,17.8,16,20.5,32.1,34.5,33.3,44.3
hers,Pronouns,3.8,0,0,2.7,1.1,2.8,5.6,10.6,9.3,16,20.5,28.4,22.4,38.3,44.3
tray,Small Household Items,1.3,1.5,2.5,1.4,5.3,8.3,8.3,11.8,13.1,14.7,19.2,24.7,13.8,25,44.3
but,Connecting Words,1.3,0,0,0,2.1,2.8,1.4,5.9,6.5,9.3,19.2,23.5,19,21.7,44.3
so,Connecting Words,1.3,0,0,4.1,3.2,8.3,5.6,11.8,11.2,16,20.5,24.7,17.2,36.7,42.9
could,Helping Verbs,0,0,1.3,4.1,1.1,2.8,2.8,7.1,3.7,9.3,14.1,21,13.8,26.7,42.9
child,People,2.6,1.5,5,0,4.3,5.6,6.9,14.1,12.1,9.3,12.8,23.5,15.5,31.7,41.4
sled,Vehicles (Real or Toy),0,1.5,1.3,4.1,8.5,9.7,8.3,14.1,12.1,17.3,28.2,28.4,20.7,38.3,41.4
yesterday,Words about Time,0,0,1.3,1.4,2.1,1.4,6.9,10.6,8.4,14.7,15.4,18.5,17.2,26.7,41.4
then,Connecting Words,2.6,0,0,0,1.1,2.8,0,8.2,6.5,13.3,19.2,18.5,12.1,20,41.4
cowboy,People,0,1.5,0,5.5,3.2,6.9,11.1,10.6,14,12,24.4,27.2,32.8,30,41.4
does,Helping Verbs,1.3,0,1.3,0,1.1,5.6,9.7,10.6,9.3,17.3,23.1,35.8,27.6,38.3,41.4
moose,Animals (Real or Toy),1.3,4.5,7.5,13.7,7.4,15.3,19.4,18.8,21.5,16,33.3,39.5,27.6,31.7,40
were,Helping Verbs,0,0,0,0,0,0,4.2,4.7,3.7,6.7,12.8,17.3,10.3,18.3,38.6
us,Pronouns,1.3,0,0,1.4,0,1.4,5.6,8.2,5.6,10.7,15.4,21,15.5,21.7,38.6
every,Quantifiers and Articles,0,0,0,0,0,1.4,2.8,14.1,6.5,10.7,12.8,18.5,22.4,38.3,37.1
wish,Action Words,2.6,0,1.3,0,2.1,1.4,2.8,3.5,4.7,6.7,14.1,19.8,10.3,18.3,37.1
last,Descriptive Words,0,0,1.3,1.4,1.1,6.9,6.9,10.6,4.7,14.7,17.9,17.3,22.4,30,37.1
before,Words about Time,0,0,1.3,0,1.1,2.8,4.2,7.1,3.7,12,21.8,14.8,12.1,26.7,37.1
vagina,Body Parts,5.1,4.5,11.3,13.7,13.8,13.9,22.2,21.2,28,29.3,29.5,33.3,39.7,38.3,35.7
hate,Action Words,2.6,0,1.3,0,1.1,1.4,1.4,9.4,4.7,16,15.4,19.8,24.1,28.3,34.3
would,Helping Verbs,1.3,0,1.3,0,0,2.8,1.4,4.7,3.7,5.3,11.5,14.8,10.3,21.7,34.3
person,People,2.6,1.5,2.5,1.4,3.2,5.6,4.2,7.1,6.5,8,11.5,19.8,13.8,21.7,34.3
camping,Places to Go,0,1.5,0,2.7,4.3,9.7,6.9,12.9,13.1,24,24.4,24.7,27.6,30,34.3
downtown,Places to Go,0,0,0,4.1,2.1,4.2,4.2,14.1,9.3,18.7,16.7,29.6,22.4,35,34.3
their,Pronouns,1.3,0,1.3,1.4,1.1,2.8,2.8,7.1,2.8,4,17.9,22.2,19,28.3,32.9
snowsuit,Clothing,1.3,1.5,3.7,5.5,2.1,6.9,9.7,8.2,11.2,17.3,16.7,21,20.7,18.3,32.9
which,Question Words,1.3,0,1.3,0,1.1,0,1.4,7.1,4.7,5.3,12.8,9.9,15.5,20,31.4
if,Connecting Words,0,0,0,1.4,1.1,2.8,1.4,2.4,4.7,12,9,12.3,8.6,18.3,31.4
woods,Places to Go,1.3,1.5,0,2.7,1.1,8.3,4.2,8.2,7.5,17.3,21.8,25.9,13.8,25,31.4
an,Quantifiers and Articles,0,0,0,0,1.1,1.4,4.2,4.7,5.6,10.7,12.8,12.3,12.1,18.3,30
poor,Descriptive Words,2.6,0,1.3,2.7,2.1,5.6,1.4,8.2,10.3,13.3,23.1,17.3,15.5,28.3,30
basement,Furniture and Rooms,1.3,0,3.7,2.7,7.4,8.3,15.3,11.8,15,24,23.1,29.6,24.1,20,30
each,Quantifiers and Articles,0,0,0,1.4,0,1.4,2.8,5.9,2.8,6.7,10.3,11.1,8.6,15,27.1
yourself,Pronouns,1.3,0,0,1.4,0,0,2.8,4.7,2.8,5.3,7.7,16,17.2,23.3,27.1
country,Places to Go,0,1.5,0,0,0,4.2,5.6,3.5,4.7,6.7,6.4,9.9,10.3,11.7,15.7
